Contract,Par.Cov,Par.St,Par.Comb,Tot.Cov,Tot.St,Tot.Comb
AlgoTether,27.32,30.23,28.53,25.2,22.31,25.2
ExchangeToken,63.2,59.46,62.7,71.5,69.98,71.5
001,0.0,0.0,0.0,0.0,0.0,0.0
004,0.0,0.0,0.0,0.0,0.0,0.0
005,17.45,5.93,18.49,29.66,29.66,29.66
008,33.92,28.81,31.36,41.58,41.58,41.58
012,50.93,48.94,52.93,48.94,48.94,48.94
013,46.98,48.94,48.94,48.94,48.94,48.94
014,46.98,48.94,48.94,48.94,48.94,48.94
015,50.93,48.94,48.94,48.94,48.94,48.94
017,45.84,48.03,45.84,45.84,45.84,45.84
018,48.94,48.94,46.98,48.94,48.94,48.94
019,8.85,14.81,11.88,22.13,17.7,22.13
025,0.0,0.0,0.0,0.0,0.0,0.0
