Contract,Par.Cov,Par.St,Par.Comb,Tot.Cov,Tot.St,Tot.Comb
AlgoTether,45.16,44.72,42.4,64.56,61.67,64.56
ExchangeToken,71.5,71.5,71.5,71.5,69.98,71.5
001,0.0,0.0,0.0,0.0,0.0,0.0
004,17.21,10.65,14.18,25.37,25.37,25.37
005,38.52,34.01,43.06,47.01,47.01,47.01
008,47.01,41.36,38.7,57.61,57.61,57.61
012,58.91,56.92,56.92,68.88,68.88,68.88
013,60.9,54.92,52.93,68.88,68.88,68.88
014,52.93,50.93,52.93,68.88,68.88,68.88
015,60.9,54.92,56.92,68.88,68.88,68.88
017,48.03,50.23,52.42,67.77,67.77,67.77
018,62.9,52.93,54.92,68.88,68.88,68.88
019,23.09,30.52,27.51,37.15,32.72,37.15
025,0.0,0.0,0.0,0.0,0.0,0.0
