Contract,Par.Cov,Par.St,Par.Comb,Tot.Cov,Tot.St,Tot.Comb
AlgoTether,0.212,0.221,0.219,0.073,0.894,0.089
ExchangeToken,0.156,0.162,0.161,0.018,0.290,0.019
1,0.080,0.212,0.198,0.104,0.170,0.165
4,0.571,0.624,0.623,0.282,0.951,0.389
5,0.414,0.459,0.457,0.172,0.935,0.210
8,0.415,0.428,0.426,0.207,0.923,0.235
12,0.458,0.467,0.469,0.204,0.934,0.212
13,0.444,0.448,0.451,0.177,0.934,0.188
14,0.460,0.466,0.464,0.196,0.935,0.212
15,0.461,0.466,0.470,0.197,0.934,0.211
17,0.431,0.429,0.429,0.154,0.933,0.163
18,0.465,0.473,0.470,0.204,0.934,0.219
19,0.263,0.261,0.261,0.033,0.924,0.036
25,0.075,0.199,0.190,0.100,0.163,0.158
