Contract,Par.Cov,Par.St,Par.Comb,Tot.Cov,Tot.St,Tot.Comb
AlgoTether,19780.0,18601.33,18148.67,6895.33,32351.0,7439.83
ExchangeToken,17962.4,15696.0,15455.6,1941.6,20063.8,1833.2
1,4746.8,7598.4,7226.6,6379.5,6700.1,6661.6
4,22559.2,16142.1,15889.9,14463.2,17896.4,11252.0
5,15009.0,12532.4,12624.2,7257.4,16652.1,6586.8
8,13071.2,11800.0,11772.8,7463.4,16406.3,6855.5
12,15239.3,12529.3,12446.2,7939.0,17107.9,6580.9
13,14778.1,12198.6,12435.0,7290.3,16728.1,6127.8
14,14715.5,12473.7,12529.5,7766.2,16746.9,6514.7
15,14970.8,12575.9,12660.4,7734.1,16776.3,6556.9
17,14980.5,12175.3,12224.7,6297.2,16570.5,5613.1
18,14380.2,12333.4,12663.8,7673.3,16674.5,6765.5
19,9670.5,8652.4,9309.9,1483.9,16191.7,1482.2
25,4322.7,6920.6,7029.0,5448.1,6461.9,6195.4
